lemma,english,pos,frequency_rank,normalized_frequency,cefr_estimate,tags
inden,,preposition,244,0.000367043241886501,A1,core preposition core_500 core_1000 core_2000
medlem,,noun,245,0.000366211657717648,A1,core noun core_500 core_1000 core_2000
mulig,,adjective,246,0.000365506812312497,A1,core adjective core_500 core_1000 core_2000
jeg,,noun,247,0.00036450290789475,A1,core noun core_500 core_1000 core_2000
økonomisk,,adjective,248,0.000363345582868311,A1,core adjective core_500 core_1000 core_2000
hurtig,,adjective,249,0.000363302224870203,A1,core adjective core_500 core_1000 core_2000
købe,,verb,250,0.00036232833752807,A1,core verb core_500 core_1000 core_2000
alt,,adverb,251,0.000360120414855151,A1,core adverb core_500 core_1000 core_2000
dansker,,noun,252,0.000358945301932052,A1,core noun core_500 core_1000 core_2000
stærk,,adjective,253,0.000358650689893622,A1,core adjective core_500 core_1000 core_2000
vinde,,verb,254,0.000355037523384567,A1,core verb core_500 core_1000 core_2000
næsten,,adverb,255,0.000351043028840863,A1,core adverb core_500 core_1000 core_2000
særlig,,adjective,256,0.000349986872476678,A1,core adjective core_500 core_1000 core_2000
betale,,verb,257,0.000346278096023075,A1,core verb core_500 core_1000 core_2000
leve,,verb,258,0.000344244717086133,A1,core verb core_500 core_1000 core_2000
enkelt,,adjective,259,0.000342055694053416,A1,core adjective core_500 core_1000 core_2000
handle,,verb,260,0.000341798881295388,A1,core verb core_500 core_1000 core_2000
ellers,,adverb,261,0.000341778869911645,A1,core adverb core_500 core_1000 core_2000
nå,,verb,262,0.000341000649432772,A1,core verb core_500 core_1000 core_2000
vente,,verb,263,0.000340901704257601,A1,core verb core_500 core_1000 core_2000
heller,,adverb,264,0.000339753273179492,A1,core adverb core_500 core_1000 core_2000
hold,,noun,265,0.000339192954434703,A1,core noun core_500 core_1000 core_2000
ønske,,verb,266,0.00033734634841269,A1,core verb core_500 core_1000 core_2000
blot,,adverb,267,0.000337099541346533,A1,core adverb core_500 core_1000 core_2000
selskab,,noun,268,0.000336632609059209,A1,core noun core_500 core_1000 core_2000
dermed,,adverb,269,0.000336074513801503,A1,core adverb core_500 core_1000 core_2000
samt,,conjunction,270,0.000335669839152489,A1,core conjunction core_500 core_1000 core_2000
cirka,,adverb,271,0.00033485159590613,A1,core adverb core_500 core_1000 core_2000
fald,,noun,272,0.000332566962928866,A1,core noun core_500 core_1000 core_2000
stige,,verb,273,0.00033144743718283,A1,core verb core_500 core_1000 core_2000
gruppe,,noun,274,0.000331093902736713,A1,core noun core_500 core_1000 core_2000
lov,,noun,275,0.000328924891087738,A1,core noun core_500 core_1000 core_2000
kalde,,verb,276,0.000328353454907537,A1,core verb core_500 core_1000 core_2000
billede,,noun,277,0.000327657503450716,A1,core noun core_500 core_1000 core_2000
faktisk,,adjective,278,0.000326994904300132,A1,core adjective core_500 core_1000 core_2000
mål,,noun,279,0.000324950407927777,A1,core noun core_500 core_1000 core_2000
lyde,,verb,280,0.000323898698537757,A1,core verb core_500 core_1000 core_2000
især,,adverb,281,0.000321988723133893,A1,core adverb core_500 core_1000 core_2000
videre,,adverb,282,0.000319584021854174,A1,core adverb core_500 core_1000 core_2000
international,,adjective,283,0.000319555116522102,A1,core adjective core_500 core_1000 core_2000
stille,,verb,284,0.000318378891855462,A1,core verb core_500 core_1000 core_2000
offentlig,,adjective,285,0.000318053150997876,A1,core adjective core_500 core_1000 core_2000
ord,,noun,286,0.000317708510500089,A1,core noun core_500 core_1000 core_2000
time,,noun,287,0.000317268260057755,A1,core noun core_500 core_1000 core_2000
forsøge,,verb,288,0.000315565068952563,A1,core verb core_500 core_1000 core_2000
læse,,verb,289,0.000314944716056547,A1,core verb core_500 core_1000 core_2000
bag,,preposition,290,0.000314532259202744,A1,core preposition core_500 core_1000 core_2000
politiker,,noun,291,0.000311754012093166,A1,core noun core_500 core_1000 core_2000
gælde,,verb,292,0.000309522742805882,A1,core verb core_500 core_1000 core_2000
føre,,verb,293,0.000306357608943949,A1,core verb core_500 core_1000 core_2000
alligevel,,adverb,294,0.000306240875872118,A1,core adverb core_500 core_1000 core_2000
ofte,,adverb,295,0.00030571724466419,A1,core adverb core_500 core_1000 core_2000
brug,,noun,296,0.000303859521206765,A1,core noun core_500 core_1000 core_2000
kort,,adjective,297,0.000303785034389502,A1,core adjective core_500 core_1000 core_2000
bank,,noun,298,0.000302608809722862,A1,core noun core_500 core_1000 core_2000
person,,noun,299,0.000301253594346081,A1,core noun core_500 core_1000 core_2000
nær,,adjective,300,0.00029959598472608,A1,core adjective core_500 core_1000 core_2000
udvikling,,noun,301,0.000297598181582458,A1,core noun core_500 core_1000 core_2000
resultat,,noun,302,0.000297171272062619,A1,core noun core_500 core_1000 core_2000
trække,,verb,303,0.000296262977589419,A1,core verb core_500 core_1000 core_2000
leder,,noun,304,0.00029605841677783,A1,core noun core_500 core_1000 core_2000
forbindelse,,noun,305,0.000295816056685838,A1,core noun core_500 core_1000 core_2000
sikre,,verb,306,0.000295200150763986,A1,core verb core_500 core_1000 core_2000
navn,,noun,307,0.000294879968624107,A1,core noun core_500 core_1000 core_2000
øvrig,,adjective,308,0.000293690403034972,A1,core adjective core_500 core_1000 core_2000
hvorfor,,adverb,309,0.000292887724198191,A1,core adverb core_500 core_1000 core_2000
siden,,preposition,310,0.000292733191845957,A1,core preposition core_500 core_1000 core_2000
løb,,noun,311,0.000291677035481772,A1,core noun core_500 core_1000 core_2000
form,,noun,312,0.000291184533092999,A1,core noun core_500 core_1000 core_2000
forklare,,verb,313,0.000291113381506359,A1,core verb core_500 core_1000 core_2000
uden,,adverb,314,0.000290529716147204,A1,core adverb core_500 core_1000 core_2000
fast,,adjective,315,0.000289033309340685,A1,core adjective core_500 core_1000 core_2000
ganske,,adverb,316,0.000284601899585271,A1,core adverb core_500 core_1000 core_2000
ansætte,,verb,317,0.000284347310314325,A1,core verb core_500 core_1000 core_2000
før,,preposition,318,0.000283622453525432,A1,core preposition core_500 core_1000 core_2000
hvem,,pronoun,319,0.000283340070665955,A1,core pronoun core_500 core_1000 core_2000
grad,,noun,320,0.000280917581489576,A1,core noun core_500 core_1000 core_2000
hård,,adjective,321,0.000280472884073077,A1,core adjective core_500 core_1000 core_2000
sikker,,adjective,322,0.000277026479095209,A1,core adjective core_500 core_1000 core_2000
før,,conjunction,323,0.000276344980304424,A1,core conjunction core_500 core_1000 core_2000
føle,,verb,324,0.000276069267906194,A1,core verb core_500 core_1000 core_2000
tæt,,adjective,325,0.000275066475231989,A1,core adjective core_500 core_1000 core_2000
opleve,,verb,326,0.000274427222695771,A1,core verb core_500 core_1000 core_2000
eneste,,adjective,327,0.000273033096295046,A1,core adjective core_500 core_1000 core_2000
projekt,,noun,328,0.000272512800317743,A1,core noun core_500 core_1000 core_2000
tysk,,adjective,329,0.000272423860834443,A1,core adjective core_500 core_1000 core_2000
samfund,,noun,330,0.000272240423150137,A1,core noun core_500 core_1000 core_2000
bo,,verb,331,0.000271898006139433,A1,core verb core_500 core_1000 core_2000
kræve,,verb,332,0.000269654507673194,A1,core verb core_500 core_1000 core_2000
spørge,,verb,333,0.000265260897198183,A1,core verb core_500 core_1000 core_2000
hjælpe,,verb,334,0.000264738377733797,A1,core verb core_500 core_1000 core_2000
forstå,,verb,335,0.000263375380152227,A1,core verb core_500 core_1000 core_2000
møde,,noun,336,0.000262566030854198,A1,core noun core_500 core_1000 core_2000
selvfølgelig,,adverb,337,0.000262313665070335,A1,core adverb core_500 core_1000 core_2000
dårlig,,adjective,338,0.000261467628235446,A1,core adjective core_500 core_1000 core_2000
således,,adverb,339,0.000260454829869369,A1,core adverb core_500 core_1000 core_2000
situation,,noun,340,0.000259274158228564,A1,core noun core_500 core_1000 core_2000
svare,,verb,341,0.00025852261959468,A1,core verb core_500 core_1000 core_2000
fortsætte,,verb,342,0.000258176867353352,A1,core verb core_500 core_1000 core_2000
plan,,noun,343,0.000257644342197095,A1,core noun core_500 core_1000 core_2000
hånd,,noun,344,0.000257549843996088,A1,core noun core_500 core_1000 core_2000
fri,,adjective,345,0.00025689169181967,A1,core adjective core_500 core_1000 core_2000
universitet,,noun,346,0.000256860563000515,A1,core noun core_500 core_1000 core_2000
avis,,noun,347,0.000255334139118382,A1,core noun core_500 core_1000 core_2000
valg,,noun,348,0.000254105662505303,A1,core noun core_500 core_1000 core_2000
opgave,,noun,349,0.00025363094801319,A1,core noun core_500 core_1000 core_2000
tal,,noun,350,0.000253458627764297,A1,core noun core_500 core_1000 core_2000
