hendes	hun; her; possessive of hun, meaning her	pronoun	237	core pronoun core_500 core_1000 core_2000
samle	collect; gather; assemble	verb	238	core verb core_500 core_1000 core_2000
direktør	director	noun	239	core noun core_500 core_1000 core_2000
aften	evening; night	noun	240	core noun core_500 core_1000 core_2000
parti	lot; quantity; batch	noun	241	core noun core_500 core_1000 core_2000
rundt	round; around; round, around	adverb	242	core adverb core_500 core_1000 core_2000
spørgsmål	question	noun	243	core noun core_500 core_1000 core_2000
inden	before; at a point reached earlier	preposition	244	core preposition core_500 core_1000 core_2000
medlem	member	noun	245	core noun core_500 core_1000 core_2000
mulig	possible; feasible; possible, feasible	adjective	246	core adjective core_500 core_1000 core_2000
jeg	self; psychology; I	noun	247	core noun core_500 core_1000 core_2000
økonomisk	economic; financial; economic, financial	adjective	248	core adjective core_500 core_1000 core_2000
hurtig	quick; rapid; fast	adjective	249	core adjective core_500 core_1000 core_2000
købe	buy; purchase; bribe	verb	250	core verb core_500 core_1000 core_2000
alt		adverb	251	core adverb core_500 core_1000 core_2000
dansker	Dane	noun	252	core noun core_500 core_1000 core_2000
stærk	strong; hot; spicy	adjective	253	core adjective core_500 core_1000 core_2000
vinde	win; gain; achieve	verb	254	core verb core_500 core_1000 core_2000
næsten	nearly; almost; all but	adverb	255	core adverb core_500 core_1000 core_2000
særlig	special; particular	adjective	256	core adjective core_500 core_1000 core_2000
betale	pay; to pay	verb	257	core verb core_500 core_1000 core_2000
leve	live; alive; to live, be alive	verb	258	core verb core_500 core_1000 core_2000
enkelt	enkel; neuter singular of enkel; single	adjective	259	core adjective core_500 core_1000 core_2000
handle	act; trade; shop	verb	260	core verb core_500 core_1000 core_2000
ellers	otherwise	adverb	261	core adverb core_500 core_1000 core_2000
nå	reach; to reach; have time	verb	262	core verb core_500 core_1000 core_2000
vente	wait; expect	verb	263	core verb core_500 core_1000 core_2000
heller	hellere; obsolete spelling of hellere; either	adverb	264	core adverb core_500 core_1000 core_2000
hold	team; class; distance	noun	265	core noun core_500 core_1000 core_2000
ønske	wish; to wish	verb	266	core verb core_500 core_1000 core_2000
blot	only; merely; only, merely	adverb	267	core adverb core_500 core_1000 core_2000
selskab	company; firm; company, firm	noun	268	core noun core_500 core_1000 core_2000
dermed	thus	adverb	269	core adverb core_500 core_1000 core_2000
samt	and; also; plus	conjunction	270	core conjunction core_500 core_1000 core_2000
cirka	circa; approximately; circa, approximately	adverb	271	core adverb core_500 core_1000 core_2000
fald	fall; decrease; decline	noun	272	core noun core_500 core_1000 core_2000
stige	rise; ascend; increase	verb	273	core verb core_500 core_1000 core_2000
gruppe	group; unit; team	noun	274	core noun core_500 core_1000 core_2000
lov	law; permission; praise	noun	275	core noun core_500 core_1000 core_2000
kalde	call; to call, to refer to	verb	276	core verb core_500 core_1000 core_2000
billede	picture; image; picture, image	noun	277	core noun core_500 core_1000 core_2000
faktisk	actual; real; actual, real	adjective	278	core adjective core_500 core_1000 core_2000
mål	language; speech; word	noun	279	core noun core_500 core_1000 core_2000
lyde	sound; to sound, to be realized; to sound	verb	280	core verb core_500 core_1000 core_2000
især	especially; particularly; especially, particularly	adverb	281	core adverb core_500 core_1000 core_2000
videre	farther; further; farther, further	adverb	282	core adverb core_500 core_1000 core_2000
international	foreign	adjective	283	core adjective core_500 core_1000 core_2000
stille	put; place; stand	verb	284	core verb core_500 core_1000 core_2000
offentlig	public	adjective	285	core adjective core_500 core_1000 core_2000
ord	word	noun	286	core noun core_500 core_1000 core_2000
time	hour; lesson; class	noun	287	core noun core_500 core_1000 core_2000
forsøge	try; attempt	verb	288	core verb core_500 core_1000 core_2000
læse	read; to read; study	verb	289	core verb core_500 core_1000 core_2000
bag	behind	preposition	290	core preposition core_500 core_1000 core_2000
politiker	politics; politician	noun	291	core noun core_500 core_1000 core_2000
gælde	hold good; valid; to hold good, be valid	verb	292	core verb core_500 core_1000 core_2000
føre	lead; guide; to lead, guide	verb	293	core verb core_500 core_1000 core_2000
alligevel	nonetheless; nevertheless; nonetheless, nevertheless	adverb	294	core adverb core_500 core_1000 core_2000
ofte	often; frequently; often, frequently	adverb	295	core adverb core_500 core_1000 core_2000
brug	use; application; use, application	noun	296	core noun core_500 core_1000 core_2000
kort	short; brief	adjective	297	core adjective core_500 core_1000 core_2000
bank	only used in certain expressions; knock; beating	noun	298	core noun core_500 core_1000 core_2000
person	character; figure; people	noun	299	core noun core_500 core_1000 core_2000
nær	near; close	adjective	300	core adjective core_500 core_1000 core_2000
udvikling	development; generation; advance	noun	301	core noun core_500 core_1000 core_2000
resultat	result	noun	302	core noun core_500 core_1000 core_2000
trække	pull; drag; haul	verb	303	core verb core_500 core_1000 core_2000
leder	leader; manager; head	noun	304	core noun core_500 core_1000 core_2000
forbindelse	connection; contact person; chemistry	noun	305	core noun core_500 core_1000 core_2000
sikre	ensure; make sure; to ensure, make sure	verb	306	core verb core_500 core_1000 core_2000
navn	name; reputation	noun	307	core noun core_500 core_1000 core_2000
øvrig	other; remaining; other, remaining	adjective	308	core adjective core_500 core_1000 core_2000
hvorfor	wherefore; why; wherefore, why	adverb	309	core adverb core_500 core_1000 core_2000
siden	since	preposition	310	core preposition core_500 core_1000 core_2000
løb	run; run, the act of running; race	noun	311	core noun core_500 core_1000 core_2000
form	shape; mould; tin	noun	312	core noun core_500 core_1000 core_2000
forklare	explain; to explain	verb	313	core verb core_500 core_1000 core_2000
uden		adverb	314	core adverb core_500 core_1000 core_2000
fast	firm; solid; tight	adjective	315	core adjective core_500 core_1000 core_2000
ganske	quite	adverb	316	core adverb core_500 core_1000 core_2000
ansætte	hire; employ; appoint	verb	317	core verb core_500 core_1000 core_2000
før	before	preposition	318	core preposition core_500 core_1000 core_2000
hvem	who; that; who, that	pronoun	319	core pronoun core_500 core_1000 core_2000
grad	degree; academic degree	noun	320	core noun core_500 core_1000 core_2000
hård	hard; tough; severe	adjective	321	core adjective core_500 core_1000 core_2000
sikker	safe; secure; safe, secure	adjective	322	core adjective core_500 core_1000 core_2000
før	before; until; before, until	conjunction	323	core conjunction core_500 core_1000 core_2000
føle	feel; sense; to feel, sense	verb	324	core verb core_500 core_1000 core_2000
tæt	close; dense; tight	adjective	325	core adjective core_500 core_1000 core_2000
opleve	experience; to experience; sense	verb	326	core verb core_500 core_1000 core_2000
eneste	only; sole; only, sole	adjective	327	core adjective core_500 core_1000 core_2000
projekt	project	noun	328	core noun core_500 core_1000 core_2000
tysk	German	adjective	329	core adjective core_500 core_1000 core_2000
samfund	society; community; society, community	noun	330	core noun core_500 core_1000 core_2000
bo	live; reside; dwell	verb	331	core verb core_500 core_1000 core_2000
kræve	demand; to demand; require	verb	332	core verb core_500 core_1000 core_2000
spørge	ask; inquire; to ask, inquire	verb	333	core verb core_500 core_1000 core_2000
hjælpe	help; to help; assist	verb	334	core verb core_500 core_1000 core_2000
forstå	understand; to understand	verb	335	core verb core_500 core_1000 core_2000
møde	meeting; encounter; appointment	noun	336	core noun core_500 core_1000 core_2000
selvfølgelig	of course; naturally; sure	adverb	337	core adverb core_500 core_1000 core_2000
dårlig	bad; unwell; poor	adjective	338	core adjective core_500 core_1000 core_2000
således	thus	adverb	339	core adverb core_500 core_1000 core_2000
situation		noun	340	core noun core_500 core_1000 core_2000
svare	answer; reply; respond	verb	341	core verb core_500 core_1000 core_2000
fortsætte	continue; to continue	verb	342	core verb core_500 core_1000 core_2000
plan	a plan; level; plane	noun	343	core noun core_500 core_1000 core_2000
hånd	anatomy; hand	noun	344	core noun core_500 core_1000 core_2000
fri	free; vacant; unoccupied	adjective	345	core adjective core_500 core_1000 core_2000
universitet	university	noun	346	core noun core_500 core_1000 core_2000
avis	journalism; newspaper	noun	347	core noun core_500 core_1000 core_2000
valg	choice; election	noun	348	core noun core_500 core_1000 core_2000
opgave	task	noun	349	core noun core_500 core_1000 core_2000
tal	number; figure; digit	noun	350	core noun core_500 core_1000 core_2000
slags	slag; genitive singular of slag	noun	351	core noun core_500 core_1000 core_2000
klub	club; a club	noun	352	core noun core_500 core_1000 core_2000
stat	state; polity; A state	noun	353	core noun core_500 core_1000 core_2000
morgen	morning	noun	354	core noun core_500 core_1000 core_2000
tekst	text; a text	noun	355	core noun core_500 core_1000 core_2000
til	more; additional; another	adverb	356	core adverb core_500 core_1000 core_2000
forælder	parent	noun	357	core noun core_500 core_1000 core_2000
hvilken	what; which; the	pronoun	358	core pronoun core_500 core_1000 core_2000
ene	alone; lonely	adjective	359	core adjective core_500 core_1000 core_2000
ret	justice; law; justice, law	noun	360	core noun core_500 core_1000 core_2000
ekstra	extra	adjective	361	core adjective core_500 core_1000 core_2000
ude	out; outside	adverb	362	core adverb core_500 core_1000 core_2000
flytte	move; remove; move, remove	verb	363	core verb core_500 core_1000 core_2000
undersøgelse	examination; investigation; test	noun	364	core noun core_500 core_1000 core_2000
antal	number; quantity; countable	noun	365	core noun core_500 core_1000 core_2000
alene	only; just	adverb	366	core adverb core_500 core_1000 core_2000
begge	both	pronoun	367	core pronoun core_500 core_1000 core_2000
ret	straight; rightly; properly	adverb	368	core adverb core_500 core_1000 core_2000
vende	turn; to turn; turn over	verb	369	core verb core_500 core_1000 core_2000
ren	clean; pure; mere	adjective	370	core adjective core_500 core_1000 core_2000
lokal	local; extension; lok	adjective	371	core adjective core_500 core_1000 core_2000
fremtid	future; grammar; future tense	noun	372	core noun core_500 core_1000 core_2000
ændre	change; alter; to change, to alter	verb	373	core verb core_500 core_1000 core_2000
aftale	arrangement; agreement; deal	noun	374	core noun core_500 core_1000 core_2000
væk	gone; away	adverb	375	core adverb core_500 core_1000 core_2000
krav	requirement; a requirement; demand	noun	376	core noun core_500 core_1000 core_2000
øje	anatomy; eye	noun	377	core noun core_500 core_1000 core_2000
præsident	president; chairman	noun	378	core noun core_500 core_1000 core_2000
samarbejde	cooperation; collaboration; partnership	noun	379	core noun core_500 core_1000 core_2000
koste	cost; price; for sale	verb	380	core verb core_500 core_1000 core_2000
forslag	proposal; suggestion; proposal, suggestion	noun	381	core noun core_500 core_1000 core_2000
musik	music	noun	382	core noun core_500 core_1000 core_2000
fylde	fill; to fill; fill up	verb	383	core verb core_500 core_1000 core_2000
privat	private; owned; privately held	adjective	384	core adjective core_500 core_1000 core_2000
oplyse	light up; illuminate; to light up, illuminate	verb	385	core verb core_500 core_1000 core_2000
fuld	full; complete; drunk	adjective	386	core adjective core_500 core_1000 core_2000
søndag	Sunday	noun	387	core noun core_500 core_1000 core_2000
ramme	affect; to affect; hit	verb	388	core verb core_500 core_1000 core_2000
medarbejder	employee	noun	389	core noun core_500 core_1000 core_2000
bygge	build; construct; to build, construct	verb	390	core verb core_500 core_1000 core_2000
længe	long	adverb	391	core adverb core_500 core_1000 core_2000
imod	mod; a variant of mod	preposition	392	core preposition core_500 core_1000 core_2000
pige	girl; woman; girl, woman	noun	393	core noun core_500 core_1000 core_2000
tilfælde	case; occurrence; case, occurrence	noun	394	core noun core_500 core_1000 core_2000
elev	pupil; student; trainee	noun	395	core noun core_500 core_1000 core_2000
social	sociable	adjective	396	core adjective core_500 core_1000 core_2000
igennem	gennem; alternative form of gennem	preposition	397	core preposition core_500 core_1000 core_2000
marked	market; fair; emporium	noun	398	core noun core_500 core_1000 core_2000
lære	teach; to teach; learn	verb	399	core verb core_500 core_1000 core_2000
far	father; dad; father, dad	noun	400	core noun core_500 core_1000 core_2000
udvikle	develop; to develop; evolve	verb	401	core verb core_500 core_1000 core_2000
lørdag	Saturday	noun	402	core noun core_500 core_1000 core_2000
mor	mother; geology; humus	noun	403	core noun core_500 core_1000 core_2000
kirke	Christianity; church	noun	404	core noun core_500 core_1000 core_2000
kunde	customer; shopper; client	noun	405	core noun core_500 core_1000 core_2000
åbne	open; to open	verb	406	core verb core_500 core_1000 core_2000
prøve	try; to try; test	verb	407	core verb core_500 core_1000 core_2000
halv	half	adjective	408	core adjective core_500 core_1000 core_2000
europæisk	European	adjective	409	core adjective core_500 core_1000 core_2000
hedde	be called; to be called; be named	verb	410	core verb core_500 core_1000 core_2000
